increment,P,,seconds,1-P = S,normalized
1,0.063,,4,0.937,1
2,0.068,,8,0.932,0.971428571
3,0.077,,12,0.923,0.92
4,0.084,,16,0.916,0.88
5,0.094,,20,0.906,0.822857143
6,0.104,,24,0.896,0.765714286
7,0.117,,28,0.883,0.691428571
8,0.13,,32,0.87,0.617142857
9,0.143,,36,0.857,0.542857143
10,0.154,,40,0.846,0.48
11,0.164,,44,0.836,0.422857143
12,0.173,,48,0.827,0.371428571
13,0.182,,52,0.818,0.32
14,0.192,,56,0.808,0.262857143
15,0.201,,60,0.799,0.211428571
16,0.21,,64,0.79,0.16
17,0.218,,68,0.782,0.114285714
18,0.224,,72,0.776,0.08
19,0.231,,76,0.769,0.04
20,0.238,,80,0.762,0
